a,character,columns
182794,76774,182629
182795,76925,182629
182796,77076,182629
182797,77227,182629
182798,77378,182629
182799,77529,182629
182800,77680,182629
182801,77831,182629
182802,130732,182629
182803,130770,182629
182804,130808,182629
182805,130846,182629
182806,130884,182629
182807,130922,182629
182808,130960,182629
182809,130998,182629
182810,131036,182629
182811,131078,182629
182812,131192,182629
182813,131306,182629
182814,131420,182629
182815,131534,182629
182816,131648,182629
182817,131762,182629
182818,131876,182629
182819,131990,182629
182820,132104,182629
182821,132218,182629
182822,132332,182629
182823,139224,182651
182824,139328,182651
182825,138364,182651
182826,138392,182651
